Name;FMISID;LPNN;WMO;Lat;Lon;Elevation;Groups;Started
Alajärvi Möksy;101533;3314;2787;63.09;24.26;171;weather;1957
Alavus Sulkavankylä;101305;2213;;62.45;23.55;124;precipitation;1942
Asikkala Pulkkilanharju;101185;1434;2727;61.27;25.52;79;weather;1991
Enonkoski Simanala;101446;2806;;62.06;29.04;95;precipitation;1937
Enontekiö Kaaresuvanto;101968;8102;;68.44;22.51;320;precipitation;1953
Enontekiö Kilpisjärvi Saana;102017;9004;2701;69.04;20.85;1002;weather;1991
Enontekiö Kilpisjärvi;102016;9003;2801;69.05;20.79;480;weather, precipitation;1978
Enontekiö Näkkälä;102019;9201;2726;68.6;23.58;374;weather;1960
Enontekiö airport;101976;8208;2802;68.36;23.43;308;weather;1999
Espoo Kivenlahti;101000;334;2838;60.18;24.64;44;mast;1989
Espoo Kytö;654910;;;60.06;24.72;0;buoy;2013
Espoo Leppävaara Läkkisepänkuja;100691;;;60.22;24.81;9;air quality (urban);2010
Espoo Luukki;100723;;;60.31;24.68;64;air quality (urban);1987
Espoo Länsiväylä Friisilä;106949;;;60.16;24.71;5;air quality (urban);2019
Espoo Nuuksio;852678;344;2986;60.29;24.57;90;weather;2014
Espoo Otaniemi Kehä I;107148;;;60.18;24.82;17;air quality (urban);2020
Espoo Tapiola;874863;342;2985;60.18;24.79;6;weather;2013
Föglö Degerby;134252;;;60.03;20.38;0;mareograph;1923
Haapavesi Mustikkamäki;101695;4402;2797;64.14;25.42;112;weather, precipitation;1951
Hailuoto Keskikylä;101776;5301;2874;65.02;24.73;6;weather;1950
Hailuoto Kujalannurkka;104109;;;65;24.69;4;air quality (FMI);1995
Hailuoto Marjaniemi;101784;5310;2873;65.04;24.56;7;weather, air quality (FMI);1881
Halsua Purola;101528;3309;2725;63.45;24.44;153;weather, precipitation;1958
Hamina Pitäjänsaari;134254;;;60.56;27.18;0;mareograph;1928
Hammarland Märket;100919;14;2993;60.3;19.13;3;weather;1977
Hanko Längden;654900;;;59.76;23.22;0;buoy;2013
Hanko Pikku Kolalahti;134253;;;59.82;22.98;0;mareograph;1887
Hanko Russarö;100932;101;2982;59.77;22.95;6;weather;1881
Hanko Tulliniemi;100946;115;2746;59.81;22.91;10;weather;1990
Hanko Tvärminne;100953;202;2750;59.84;23.25;3;weather;1962
Harjavalta Kaleva;103142;;;61.31;22.14;43;air quality (urban);1978
Harjavalta Pirkkala;103143;;;61.33;22.14;40;air quality (urban);1990
Hattula Lepaa;101151;1323;2704;61.11;24.32;87;weather;2006
Heinola Asemantaus;101196;1506;2768;61.2;26.05;93;weather;1908
Heinola Tiilitehtaankatu;105416;;;61.2;26.05;70;air quality (urban);2018
Heinävesi Palokki;101589;3702;;62.57;28.59;103;precipitation;1908
Helsinki Harmaja;100996;330;2795;60.11;24.98;6;weather;1989
Helsinki lighthouse;101003;337;2989;59.95;24.93;0;weather;2003
Helsinki Kaisaniemi;100971;304;2978;60.18;24.94;3;weather;1844
Helsinki Kaivopuisto;132310;345;2960;60.15;24.96;2;mareograph;1904
Helsinki Kallio 2;100662;;;60.19;24.95;21;air quality (urban);1999
Helsinki Kumpula;101004;339;2998;60.2;24.96;24;weather, precipitation, air quality (FMI);2005
Helsinki Länsisatama 4;106948;;;60.16;24.92;3;air quality (urban);2019
Helsinki Malmi airfield;101009;401;;60.25;25.05;15;weather;1937
Helsinki Mannerheimintie;100742;;;60.17;24.94;5;air quality (urban);2005
Helsinki Mäkelänkatu;100762;;;60.2;24.95;25;air quality (urban);2015
Helsinki Paloheinä;107165;;;60.25;24.94;26;air quality (urban);2019
Helsinki Pirkkola;106950;;;60.23;24.92;20;air quality (urban);2019
Helsinki Suomenlinna wavebuoy;103976;;;60.12;24.97;0;buoy;2016
Helsinki Vartiokylä Huivipolku;100803;;;60.22;25.1;25;air quality (urban);2009
Helsinki Vuosaari Käärmeniementie;103943;;;60.22;25.17;9;weather;2016
Helsinki Vuosaari harbour;151028;411;;60.21;25.2;2;weather;2012
Hollola Kansankatu siirrettävä;103814;;;60.99;25.52;150;air quality (urban);2015
Hollola Muovitie;104096;;;61;25.53;156;air quality (urban);2015
Huittinen Sallila;101075;1111;;61.02;22.7;73;precipitation;1961
Hyvinkää Hyvinkäänkylä;101130;1302;2829;60.6;24.8;86;weather;1930
Hyvinkää Kruununpuisto;107166;;;60.62;24.86;106;air quality (urban);2019
Hämeenlinna Katinen;101150;1322;2754;61;24.49;87;weather;2001
