Name,FMISID,LPNN,WMO,Elevation,x_utm35,y_utm35,Started,first_date,last_date,tdays,rrdays,closest_area,KAR,HYY,PIS,TII,VAR,AIL,SAA,MAL,RAS
Enontekiö Kilpisjärvi Saana,102017,9004,2701,1002,254833.5746022856,7671124.331370164,1991,1991-10-02,2021-11-07,10618,0,SAA,990.5,818.7,730.3,687,387.4,8.5,2.8,7,239.2
Enontekiö Kilpisjärvi,102016,9003,2801,480,252561.47379072942,7672475.655984769,1978,1990-01-01,2021-11-08,8691,8692,SAA,992,820.3,732.5,689.2,390,11.1,2,4.4,240.8
Espoo Nuuksio,852678,344,2986,90,365668.7088493018,6686183.230839225,2014,2016-12-01,2021-11-08,623,623,KAR,41.8,172.6,381.5,422.4,865,984.5,993.9,995.9,1083.9
Espoo Tapiola,874863,342,2985,6,377416.92301412224,6673509.130639351,2013,2013-11-25,2021-11-08,2904,2905,KAR,54.3,186.5,386.5,428.3,874,998.4,1007.9,1009.9,1095.4
Inkoo Bågaskär,100969,302,2984,13,332910.30047224683,6647389.826560607,1954,1990-01-01,2021-11-07,11580,5844,KAR,36.8,211.6,431.8,472.1,911.7,1020.2,1029.4,1031.2,1126.2
Juuka Niemelä,101609,3802,2791,115,612048.79162576,7013162.720101328,1914,1990-01-01,2021-11-08,4005,4005,PIS,438.1,303.1,45.7,65,502.8,740.5,751.4,755,763.8
Juupajoki Hyytiälä,101317,2303,2770,154,357389.70446705347,6860444.676592586,1956,1990-01-01,2021-11-08,4278,4278,HYY,180.5,6.2,257.4,287.1,702.5,810.4,819.9,821.9,911.8
Jämsä Halli Lentoasemantie,101338,2324,2946,144,384783.3147236731,6860526.182300743,2008,2016-11-01,2021-11-08,894,894,HYY,187.6,33.3,235.6,267.8,693,814,823.7,825.9,908.6
Jämsä Halli airport,101315,2301,2945,144,384257.3543631355,6860543.95881803,1964,1990-01-01,2021-11-07,11602,7107,HYY,187.5,32.7,236,268.2,693.2,813.9,823.6,825.8,908.6
Kirkkonummi Mäkiluoto,100997,331,2794,2,351858.70258224546,6645467.108363469,1989,2001-09-01,2021-11-07,7314,0,KAR,46.8,212.7,423.5,464.8,907.9,1023.6,1033,1034.9,1125.9
Kuopio Ritoniemi,101580,3611,2732,86,545897.7951013445,6963626.745037612,1980,1991-05-31,2021-11-07,10422,0,PIS,357.7,221.1,51.3,96.7,556.1,757.1,767.8,771,804.1
Kuopio Savilahti,101586,3617,2955,87,532030.7450522325,6973490.18624857,2005,2005-06-24,2021-11-08,3078,3037,PIS,357.3,214.1,50.6,91.2,548.1,742.8,753.5,756.6,793.1
Lohja Porla,100974,307,2706,36,336685.69380473404,6681790.941924915,1949,1990-01-01,2021-11-08,10799,10798,KAR,12.8,177,401.1,440.6,877.8,986.2,995.4,997.3,1091.6
Nurmes Valtimo,101743,4701,2798,114,590554.0587819937,7061538.450260668,1969,1990-01-01,2021-11-08,4639,4640,TII,462.9,313.8,56.3,25.4,454.9,687.7,698.7,702.3,712.5
Nurmijärvi Röykkä,101149,1321,2983,110,370963.7861131171,6710514.795872612,1952,1996-12-31,2021-11-08,806,1738,KAR,54.4,149,358.1,398.5,840.2,960.9,970.4,972.4,1059.2
Raasepori Jussarö,100965,215,2757,17,307701.05081726005,6636343.267124721,1990,1991-01-04,2021-11-07,10881,0,KAR,49.5,226.2,455,494.4,930.1,1029.8,1038.8,1040.5,1140.6
Rautavaara Ylä-Luosta,101603,3716,2789,166,582981.4732478965,7029003.616634394,1976,1990-01-01,2021-11-08,3639,3639,PIS,432.2,287.6,24.7,34.2,487.7,713,723.9,727.4,743.5
Salla Värriötunturi,102012,8803,2819,360,610259.5025108642,7517316.80612625,1971,1990-01-01,2021-11-08,5253,5253,VAR,882,708,508.6,461.2,1.4,379.4,389.1,394.1,281.8
Salo Kiikala airfield,100967,217,2777,117,315798.787906548,6707329.12431919,2002,2002-06-11,2021-11-08,3829,592,KAR,25.6,155.1,393.4,430.7,860.5,959.3,968.4,970.2,1069.2
Salo Kärkkä,100955,205,2756,2,285536.4702406508,6698950.352400759,1936,1990-01-01,2021-11-07,11630,9154,KAR,41.6,172.4,419.6,455.5,879,966.4,975.4,976.9,1082.4
Siilinjärvi Kuopio airport,101570,3601,2917,94,541027.7665182216,6985847.620354592,1945,1990-01-01,2021-11-07,11592,5479,PIS,372.6,228.4,35.5,76.5,534.6,734.7,745.4,748.6,781.5
